Date,Difficulty
2019-07-14,9064159826491.0
2019-07-15,9064159826491.0
2019-07-16,9064159826491.0
2019-07-17,9064159826491.0
2019-07-18,9064159826491.0
2019-07-19,9064159826491.0
2019-07-20,9064159826491.0
2019-07-21,9064159826491.0
2019-07-22,9064159826491.0
2019-07-23,9064159826491.0
2019-07-24,9064159826491.0
2019-07-25,9064159826491.0
2019-07-26,9013786945892.0
2019-07-27,9013786945892.0
2019-07-28,9013786945892.0
2019-07-29,9013786945892.0
2019-07-30,9013786945892.0
2019-07-31,9013786945892.0
2019-08-01,9013786945892.0
2019-08-02,9013786945892.0
2019-08-03,9013786945892.0
2019-08-04,9013786945892.0
2019-08-05,9013786945892.0
2019-08-06,9013786945892.0
2019-08-07,9985348008060.0
2019-08-08,9985348008060.0
2019-08-09,9985348008060.0
2019-08-10,9985348008060.0
2019-08-11,9985348008060.0
2019-08-12,9985348008060.0
2019-08-13,9985348008060.0
2019-08-14,9985348008060.0
2019-08-15,9985348008060.0
2019-08-16,9985348008060.0
2019-08-17,9985348008060.0
2019-08-18,9985348008060.0
2019-08-19,10183488432890.0
2019-08-20,10183488432890.0
2019-08-21,10183488432890.0
2019-08-22,10183488432890.0
2019-08-23,10183488432890.0
2019-08-24,10183488432890.0
2019-08-25,10183488432890.0
2019-08-26,10183488432890.0
2019-08-27,10183488432890.0
2019-08-28,10183488432890.0
2019-08-29,10183488432890.0
2019-08-30,10183488432890.0
2019-08-31,10183488432890.0
2019-09-01,10183488432890.0
2019-09-02,10183488432890.0
2019-09-03,10183488432890.0
2019-09-04,10771996663680.0
2019-09-05,10771996663680.0
2019-09-06,10771996663680.0
2019-09-07,10771996663680.0
2019-09-08,10771996663680.0
2019-09-09,10771996663680.0
2019-09-10,10771996663680.0
2019-09-11,10771996663680.0
2019-09-12,10771996663680.0
2019-09-13,10771996663680.0
2019-09-14,10771996663680.0
2019-09-15,10771996663680.0
2019-09-16,11890594958796.0
2019-09-17,11890594958796.0
2019-09-18,11890594958796.0
2019-09-19,11890594958796.0
2019-09-20,11890594958796.0
2019-09-21,11890594958796.0
2019-09-22,11890594958796.0
2019-09-23,11890594958796.0
2019-09-24,11890594958796.0
2019-09-25,11890594958796.0
2019-09-26,11890594958796.0
2019-09-27,11890594958796.0
2019-09-28,12759819404409.0
2019-09-29,12759819404409.0
2019-09-30,12759819404409.0
2019-10-01,12759819404409.0
2019-10-02,12759819404409.0
2019-10-03,12759819404409.0
2019-10-04,12759819404409.0
2019-10-05,12759819404409.0
2019-10-06,12759819404409.0
2019-10-07,12759819404409.0
2019-10-08,12759819404409.0
2019-10-09,12759819404409.0
2019-10-10,12874760266706.7
2019-10-11,12874760266706.7
2019-10-12,12874760266706.7
2019-10-13,12874760266706.7
2019-10-14,13008091666972.0
